municipio;ranking;score;tipo_prestador;populacao;desempenho;desempenho_norm;inv_per_capita;inv_per_capita_norm;tarifa_agua;tarifa_agua_norm;perdas;perdas_norm;perdas_trunc_norm
Itapé;  1;75,07777;EMBASA;   9830; 85,470; 36,315335;2,290126e+03;1,000000e+02; 4,710000; 84,2933691; 22,61000; 62,08016; 76,51275
Itororó;  2;65,65758;Adm. pública municipal;  21241;117,990; 50,362851;9,085946e+00;3,967443e-01; 0,790000; 97,4212994;  0,00000; 81,13701;100,00000
Luís Eduardo Magalhães;  3;64,51780;EMBASA;  83557;164,800; 70,583153;6,799985e+01;2,969262e+00; 5,070000; 83,0877428; 18,02000; 65,94884; 81,28084
Sobradinho;  4;64,23698;Adm. pública municipal;  23713; 94,200; 40,086393;0,000000e+00;0,000000e+00; 1,310000; 95,6798392; -5,08000; 85,41869;100,00000
Dom Basílio;  5;63,42312;Adm. pública municipal;  12604;139,260; 59,550756;1,500617e+02;6,552552e+00; 2,150000; 92,8667113;  1,20000; 80,12559; 98,75344
Itaberaba;  6;62,96694;EMBASA;  66806; 94,950; 40,410367;6,242293e+02;2,725742e+01; 5,510000; 81,6141996; 18,49000; 65,55270; 80,79261
Mascote;  7;62,88622;EMBASA;  14728;178,570; 76,531317;0,000000e+00;0,000000e+00; 4,560000; 84,7957133;  8,19000; 74,23406; 91,49224
Dom Macedo Costa;  8;62,01681;EMBASA;   4212; 83,390; 35,416847;5,740581e+02;2,506666e+01; 4,120000; 86,2692565; 19,69000; 64,54128; 79,54605
Nova Fátima;  9;61,40961;EMBASA;   8119; 91,210; 38,794816;0,000000e+00;0,000000e+00; 4,680000; 84,3938379; -3,23000; 83,85941;100,00000
Igaporã; 10;61,09132;Adm. pública municipal;  16283;158,180; 67,723542;1,399980e+02;6,113111e+00; 1,510000; 95,0100469;  8,10000; 74,30992; 91,58573
São Félix do Coribe; 11;61,05547;Adm. pública municipal;  15825;116,240; 49,606911;7,196140e+00;3,142246e-01; 3,490000; 88,3791025; 16,80000; 66,97712; 82,54818
Riacho de Santana; 12;60,86032;Adm. pública municipal;  36439;232,900;100,000000;0,000000e+00;0,000000e+00; 1,840000; 93,9048895; 16,67000; 67,08669; 82,68322
Jequié; 13;60,79368;EMBASA; 162209;133,780; 57,183585;2,930106e+01;1,279452e+00; 5,460000; 81,7816477; 20,66000; 63,72372; 78,53841
Itajuípe; 14;60,73196;Adm. pública municipal;  21642;101,590; 43,278618;1,044397e+00;4,560434e-02; 2,330000; 92,2638982; -8,37000; 88,19167;100,00000
Almadina; 15;60,60198;EMBASA;   5985; 86,660; 36,829374;0,000000e+00;0,000000e+00; 4,570000; 84,7622237; -1,01000; 81,98829;100,00000
Firmino Alves; 16;60,42096;EMBASA;   5822;116,090; 49,542117;0,000000e+00;0,000000e+00; 5,280000; 82,3844608; 11,78000; 71,20823; 87,76295
São Domingos; 17;60,14273;EMBASA;   9404; 92,510; 39,356371;0,000000e+00;0,000000e+00; 5,050000; 83,1547220;  0,29000; 80,89258; 99,69875
São José do Jacuípe; 18;60,10263;EMBASA;  10784;101,130; 43,079914;4,991649e+01;2,179639e+00; 4,510000; 84,9631614;  1,04000; 80,26044; 98,91965
Paramirim; 19;59,51454;EMBASA;  22286;100,690; 42,889849;1,637699e+00;7,151128e-02; 4,850000; 83,8245144; 12,28000; 70,78680; 87,24355
Capim Grosso; 20;59,35184;EMBASA;  31392; 81,090; 34,423326;6,488637e+01;2,833310e+00; 4,970000; 83,4226390;  6,00000; 76,07990; 93,76721
