municipio;ranking;ranking_perdas_trunc;score;score_perdas_trunc;tipo_prestador;populacao;desempenho;desempenho_norm;inv_per_capita;inv_per_capita_norm;tarifa_agua;tarifa_agua_norm;tarifa_esgoto;tarifa_esgoto_norm;coleta;tratamento;perdas;perdas_norm;perdas_trunc_norm
Jequié;  1;  1;66,87778;67,81375;EMBASA; 162209;133,78; 48,713676; 29,3010625;  4,69395820; 5,46; 85,474274;4,29; 33,903577;100,00;100,00;20,66000; 62,23676; 69,724502
Curaçá;  2;  3;65,71952;65,87669;Adm. pública municipal;  35524;102,42; 32,382044;  2,5151924;  0,40292763; 1,93; 97,829891;0,04;100,000000;100,00; 98,78;60,25000; 10,45128; 11,708675
Vitória da Conquista;  3;  2;65,27946;66,12159;EMBASA; 348718;120,07; 41,573794; 42,7702158;  6,85168346; 5,22; 86,314316;4,10; 36,858476; 97,32; 97,32;25,43000; 55,99738; 62,734467
Santa Inês;  4;  4;64,02303;65,04732;EMBASA;  11161;123,51; 43,365274;  0,6963420;  0,11155227; 5,49; 85,369268;3,72; 42,768274; 93,30; 93,30;16,17000; 68,10988; 76,304220
Várzea Nova;  5;  5;63,58527;64,83893;EMBASA;  13454; 94,14; 28,069993;  5,2436345;  0,84001736; 4,42; 89,114456;3,38; 48,055988; 92,07; 80,31; 4,51000; 83,36167; 93,390973
Porto Seguro;  6;  6;62,51628;63,45953;EMBASA; 149324;105,29; 33,876680; 25,4366285;  4,07488538; 5,39; 85,719286;4,48; 30,948678;100,00;100,00;20,29000; 62,72073; 70,266706
Sobradinho;  7;  8;61,78203;62,29380;Adm. pública municipal;  23713; 94,20; 28,101239;  0,0000000;  0,00000000; 1,31;100,000000;0,44; 93,779160; 76,47;  0,00;-5,08000; 95,90582;100,000000
Belmonte;  8;  7;61,66397;62,67056;EMBASA;  24013; 77,14; 19,216748; 30,7231360;  4,92177089; 5,20; 86,384319;3,47; 46,656299;100,00;100,00;17,07000; 66,93264; 74,985346
Ilhéus;  9;  9;61,06604;61,84464;EMBASA; 176341;106,19; 34,345381;162,5253930; 26,03616856; 5,71; 84,599230;3,78; 41,835148; 75,06; 75,06;28,66000; 51,77240; 58,001172
Canavieiras; 10; 10;60,27796;61,53792;EMBASA;  33002; 86,09; 23,877721; 17,0032370;  2,72387678; 4,69; 88,169408;3,64; 44,012442; 78,82; 78,82; 4,19000; 83,78025; 93,859906
Mucuri; 11; 11;60,06063;61,13764;EMBASA;  42072; 76,86; 19,070930;  1,6697758;  0,26749399; 5,04; 86,944347;2,98; 54,276827;100,00;100,00;13,49000; 71,61543; 80,231536
Ibotirama; 12; 12;60,00345;60,82532;EMBASA;  27862;127,66; 45,526508; 34,8813238;  5,58790236; 4,89; 87,469373;4,00; 38,413686; 79,16; 79,16;26,46000; 54,65010; 61,225088
Itabuna; 13; 14;59,86603;60,65368;Adm. pública municipal; 221046; 93,04; 27,497136; 44,5955327;  7,14409475; 3,39; 92,719636;1,32; 80,093313; 94,16; 24,94;28,20000; 52,37410; 58,675264
Remanso; 14; 13;59,60398;60,76066;Adm. pública municipal;  42672;110,98; 36,839913;  1,4255172;  0,22836436; 1,67; 98,739937;1,18; 82,270607; 62,47; 38,89; 9,44000; 76,91302; 86,166471
Iuiú; 15; 16;59,52417;60,52210;EMBASA;  11399;100,95; 31,616498;  0,0000000;  0,00000000; 4,32; 89,464473;3,49; 46,345257; 93,05; 93,05;17,51000; 66,35710; 74,340563
Itaberaba; 16; 17;59,39817;60,37682;EMBASA;  66806; 94,95; 28,491824;624,2293010;100,00000000; 5,51; 85,299265;1,69; 74,339036; 10,99; 10,99;18,49000; 65,07521; 72,904455
